symbol,direction,regime,adx_value,signal_score,score_verdict,has_sweep,sweep_strength,has_bos,bos_type,has_ob,ob_valid,sl_source,result,pnl_pct,net_pnl_pct,win,rr,ema_strength,rsi_value,macd_hist_normalized,volume_ratio,created_at,entry_price,exit_price
LINK/USDT,SELL,expansion,50.702722649762855,5,moderate,False,0.0,False,,False,False,atr,TP,2.792,2.592,True,2.0,-1.0,23.13602017505117,-0.102935,1.8478,2026-01-20 16:00:00+00:00,12.419,12.0722574
LINK/USDT,SELL,range,36.77345787487279,3,weak,False,0.0,True,bearish,False,False,atr,SL,-1.254,-1.454,False,1.0,-0.40612631533445975,41.225021151006445,0.048925,0.2728,2026-01-21 10:00:00+00:00,12.3,12.45424437
LINK/USDT,SELL,expansion,32.52075307780436,5,moderate,False,0.0,True,bearish,False,False,structural,TP,3.6869,3.4869,True,3.69,-0.4965067456684988,33.84502205096478,-0.073897,2.4355,2026-01-21 16:00:00+00:00,12.356,11.90044165
LINK/USDT,SELL,expansion,42.18809920052505,5,moderate,False,0.0,False,,False,False,atr,TP,2.3587,2.1587,True,2.0,-1.0,11.311528401509358,-0.374663,2.7272,2026-01-25 18:00:00+00:00,11.697,11.42110261
LINK/USDT,SELL,expansion,45.212523059845076,5,moderate,False,0.0,False,,False,False,atr,SL,-1.3466,-1.5466,False,1.0,-1.0,8.149201519468807,-0.514267,2.161,2026-01-25 19:00:00+00:00,11.605,11.76127379
LINK/USDT,SELL,expansion,32.45842275002161,5,moderate,False,0.0,False,,False,False,atr,TP,2.7646,2.5646,True,2.0,-1.0,14.452012241395632,-0.209604,4.0622,2026-01-29 14:00:00+00:00,11.579,11.25888388
LINK/USDT,SELL,expansion,39.81795172779286,5,moderate,False,0.0,False,,True,True,atr,TP,3.4973,3.2973,True,2.0,-1.0,14.771163908675396,-0.426722,1.8575,2026-01-29 17:00:00+00:00,11.146,10.75618837
LINK/USDT,SELL,trend,59.051729271490956,5,moderate,False,0.0,False,,False,False,atr,SL,-2.6243,-2.8243,False,1.0,-1.0,22.513830151918427,-0.274227,2.5731,2026-02-01 15:00:00+00:00,9.61,9.86219937
LINK/USDT,SELL,range,24.555209791932914,3,weak,True,1.0,False,,True,True,structural,TP,6.0197,5.8197,True,4.05,-1.0,41.036856901349445,0.022912,0.3226,2026-02-05 00:00:00+00:00,9.212,8.65746329
LINK/USDT,SELL,expansion,35.62859456988669,5,moderate,False,0.0,False,,False,False,atr,TP,7.3534,7.1534,True,2.0,-1.0,16.56351797979979,-0.518959,4.0371,2026-02-05 15:00:00+00:00,8.571,7.94073593
LINK/USDT,SELL,expansion,44.33267772484437,5,moderate,False,0.0,False,,False,False,atr,TP,8.612,8.412,True,2.0,-1.0,15.78932262309198,-0.775044,2.708,2026-02-05 20:00:00+00:00,8.233,7.52397574
LINK/USDT,SELL,expansion,30.54859539621716,3,weak,False,0.0,False,,False,False,structural,TP,3.7345,3.5345,True,3.73,-1.0,33.42820851947839,0.047098,4.1426,2026-02-11 14:00:00+00:00,8.53,8.21144738
LINK/USDT,SELL,expansion,27.123819341275098,3,weak,False,0.0,False,,False,False,atr,SL,-2.0948,-2.2948,False,1.0,-1.0,28.472115795874586,-0.027043,1.6842,2026-02-11 16:00:00+00:00,8.34,8.51470508
LINK/USDT,SELL,range,21.288329246386965,4,moderate,True,1.0,False,,False,False,atr,SL,-2.0297,-2.2297,False,1.0,-0.3805223758674943,34.64952128054495,-0.475504,1.3671,2026-02-12 17:00:00+00:00,8.211,8.37766033
LINK/USDT,SELL,range,20.761359383087072,4,moderate,True,1.0,False,,False,False,atr,SL,-2.0692,-2.2692,False,1.0,-0.5320885891242698,42.43608178213845,-0.282841,1.254,2026-02-12 19:00:00+00:00,8.279,8.45030661
LINK/USDT,SELL,compression,20.26771330814939,5,moderate,True,1.0,True,bullish,False,False,atr,TP,2.0448,1.8448,True,2.0,-0.5774585258812306,27.21221848336708,-0.120512,2.2959,2026-02-22 15:00:00+00:00,8.708,8.52993494
LINK/USDT,SELL,expansion,30.164284049600603,5,moderate,False,0.0,False,,False,False,atr,SL,-1.5488,-1.7488,False,1.0,-1.0,12.51144538551891,-0.448672,6.4786,2026-02-23 01:00:00+00:00,8.318,8.44682823
LINK/USDT,SELL,trend,25.861934972063995,4,moderate,False,0.0,True,bearish,False,False,atr,SL,-1.7989,-1.9989,False,1.0,-0.8059191655660507,32.86655846599651,-0.163496,0.6371,2026-02-23 18:00:00+00:00,8.295,8.44422285
LINK/USDT,SELL,expansion,33.666315412006526,5,moderate,False,0.0,False,,False,False,structural,TP,3.684,3.484,True,2.35,-1.0,14.657252809114581,-0.311433,3.8623,2026-02-28 06:00:00+00:00,8.609,8.2918447
